Release	Date	GB_Bases	GB_Sequences	WGS_Bases	WGS_Sequences
3	1982-12-01	680338	606		
14	1983-11-01	2274029	2427		
20	1984-05-01	3002088	3665		
24	1984-09-01	3323270	4135		
25	1984-10-01	3368765	4175		
26	1984-11-01	3689752	4393		
32	1985-05-01	4211931	4954		
36	1985-09-01	5204420	5700		
40	1986-02-01	5925429	6642		
42	1986-05-01	6765476	7416		
44	1986-08-01	8442357	8823		
46	1986-11-01	9615371	9978		
48	1987-02-01	10961380	10913		
50	1987-05-01	13048473	12534		
52	1987-08-01	14855145	14020		
53	1987-09-01	15514776	14584		
54	1987-12-01	16752872	15465		
55	1988-03-01	19156002	17047		
56	1988-06-01	20795279	18226		
57	1988-09-01	22019698	19044		
57.1	1988-10-01	23800000	20579		
58	1988-12-01	24690876	21248		
59	1989-03-01	26382491	22479		
60	1989-06-01	31808784	26317		
61	1989-09-01	34762585	28791		
62	1989-12-01	37183950	31229		
63	1990-03-01	40127752	33377		
64	1990-06-01	42495893	35100		
65	1990-09-01	49179285	39533		
66	1990-12-01	51306092	41057		
67	1991-03-01	55169276	43903		
68	1991-06-01	65868799	51418		
69	1991-09-01	71947426	55627		
70	1991-12-01	77337678	58952		
71	1992-03-01	83894652	65100		
72	1992-06-01	92160761	71280		
73	1992-09-01	101008486	78608		
74	1992-12-01	120242234	97084		
75	1993-02-01	126212259	106684		
76	1993-04-01	129968355	111911		
77	1993-06-01	138904393	120134		
78	1993-08-01	147215633	131328		
79	1993-10-01	157152442	143492		
80	1993-12-01	163802597	150744		
81	1994-02-01	173261500	162946		
82	1994-04-01	180589455	169896		
83	1994-06-01	191393939	182753		
84	1994-08-01	201815802	196703		
85	1994-10-01	217102462	215273		
86	1994-12-01	230485928	237775		
87	1995-02-01	248499214	269478		
88	1995-04-01	286094556	352414		
89	1995-06-01	318624568	425211		
90	1995-08-01	353713490	492483		
91	1995-10-01	384939485	555694		
92	1995-12-01	425860958	620765		
93	1996-02-01	463758833	685693		
94	1996-04-01	499127741	744295		
95	1996-06-01	551750920	835487		
96	1996-08-01	602072354	920588		
97	1996-10-01	651972984	1021211		
98	1996-12-01	730552938	1114581		
99	1997-02-01	786898138	1192505		
100	1997-04-01	842864309	1274747		
101	1997-06-01	966993087	1491069		
102	1997-08-01	1053474516	1610848		
103	1997-10-01	1160300687	1765847		
104	1997-12-01	1258290513	1891953		
105	1998-02-01	1372368913	2042325		
106	1998-04-01	1502542306	2209232		
107	1998-06-01	1622041465	2355928		
108	1998-08-01	1797137713	2532359		
109	1998-10-01	2008761784	2837897		
110	1998-12-01	2162067871	3043729		
111	1999-04-01	2569578208	3525418		
112	1999-06-01	2974791993	4028171		
113	1999-08-01	3400237391	4610118		
114	1999-10-01	3841163011	4864570		
115	1999-12-01	4653932745	5354511		
116	2000-02-01	5805414935	5691170		
